목목목,木木木,입신출세격(立身出世格),매사가 순조롭고 성공이 따르니 향상 발전하고 뜻하는 바를 성취해 나간다. 부모형제와 화목하고 가정에 만복이 자래하니 자손 운과 재물 운이 순탄하다.
목목화,木木火,입신출세격(立身出世格),신중하고 총명하니 경영하는 일들이 순풍에 돛 단 듯 순조롭다. 부모님께 효도하고 만인에게 도움을 받으니 일평생 부귀영화를 누리며 태평성대를 이룬다.
목목토,木木土,고난신고격(苦難辛苦格),건강이 허약하여 질병에 시달리며 매사가 순조롭지 못하여 고통을 받겠지만 귀인의 도움으로 위기를 모면하고 자수성가하여 근근득실 한다. 부부 운은 불화가 잦다.
목목금,木木金,고난신고격(苦難辛苦格),진취적인 기상이 있기는 하지만 부모형제와 무정하고 성공 운이 불안정하다. 인덕이 부족하고 부부 운 또한 박정하니 불화가 잦고 금전적인 손실이 많이 발생한다.
목목수,木木水,성공발전격(成功發展格),운기가 좋고 재복이 왕성하니 성공 발전이 순조롭다. 부모 형제와 화목하고 자손이 번창하며 재물과 명예를 사해에 떨치고 입신양명하니 일생이 평탄하다.
목화목,木火木,춘산화개격(春山花開格),향상하고 발전하는 길 격이니 부모 형제와 화목하고 부부가 백년해로하니 일평생 부귀영화를 누린다. 모든 일이 형통하고 귀인의 도움으로 경영하는 일이 평탄하다.
목화화,木火火,고목봉춘격(枯木逢春格),성공은 이루겠으나 끝까지 지키기 어려우니 인내력이 부족하다. 불같은 기질로 인해 실수를 많이 저질러 실패를 맛보겠으나 큰 불행은 없다. 부모형제 화목하고 부부가 화락한다.
목화토,木火土,대지대업격(大志大業格),천성이 바르니 의리를 중요시 여기고 비범한 기상을 지녔다. 가정이 화목하여 부부가 해로하고 자손에게는 효도를 받는다. 부귀영화와 더불어 건강과 장수의 천복을 누린다.
목화금,木火金,평지풍파격(平地風波格),인덕이 없으니 부모형제와 불화하고 독좌탄식(獨坐歎息)한다. 자손이 불효하고 일시적인 성공은 도모할 수 있겠으나 운기가 불안하여 불행해지니 일생동안 질병으로 신고가 끊이지 않는다.
목화수,木火水,선부후빈격(先富後貧格),도모하는 일마다 장애가 따르고 질병에 시달리니 심신이 고달프다. 뜻밖에 재앙으로 재산을 탕진하고 부부와 불화 하여 천리 타향의 외로운 신세를 면하기 어렵다.
목토목,木土木,사고무친격(四顧無親格),신경이 예민하니 매사가 불안정하고 변동이 잦다. 경영하는 일마다 공허해지고 일신에 질병이 잦으니 걱정 근심이 끊이지 않는다. 부모와 떨어져 먼 타향에서 방랑하게 된다.
목토화,木土火,골육상쟁격(骨肉相爭格),초년 운이 고달프니 부모 형제와 불화하고 타향에서 고생을 한다. 매사가 진전이 없으며 일평생 고난이 끊이지 않고 타향에서 객사할 운이다.
목토토,木土土,속성속패격(速成速敗格),성공과 흥망의 변동이 심하니 인내력이 없고 심지가 약하다. 부모의 유산까지 파산시켜 일생을 가난하게 보내게 되며 부부의 정 또한 박하여 가정을 원만히 이루기 어렵다.
목토금,木土金,패가망신격(敗家亡身格),실천력과 결단력이 부족하여 성공을 이루기 어렵다. 초년에는 발전을 이룰 수 있겠으나 만사가 여의치 못하며 일의 장애가 끊이지 않고 객지에서 고생을 하게 되는 격이다.
목토수,木土水,고목낙엽격(枯木落葉格),의지력이 없고 인내심이 부족하여 성공을 하여도 지키기 어렵다. 조상의 유업을 파산시키니 신고를 면할 날이 없다. 부부와 상별하고 질병으로 일생을 마감한다.
목금목,木金木,골육상쟁격(骨肉相爭格),겉보기는 화려하나 매사에 실속이 없고 금전적인 손실이 많다. 성공 운이 불안정하고 자립심이 없으니 도모하는 일마다 지연이 속출하다. 조실부모하고 단명 한다.
목금화,木金火,독좌탄식격(獨坐歎息格),성공 운이 미흡하고 불안정하니 일의 시작은 있겠으나 마무리가 흐지부지하니 매사에 장애가 속출하다. 가정에 불화가 그치지 않고 고독과 수심에 찬 인생을 살게 된다.
